NAME,RAJ2000,DEJ2000,Xi,z,M500c,R200,MYNAME
J1000-3016,150.0065,-30.2751,7.28,0.21,7.09,10.653279245084935,cl0
J1000-2037,150.1476,-20.6199,5.13,0.57,4.88,4.305512746125756,cl1
J1023-2715,155.9547,-27.2581,8.89,0.253,8.01,9.492462542126173,cl2
J1039-2502,159.9309,-25.0351,6.17,0.83,5.27,3.4192188129059633,cl3
J1042-2847,160.5667,-28.7909,6.63,0.72,5.76,3.870525928408687,cl4
J1101-2244,165.3057,-22.7357,5.38,0.142,5.69,13.91453562731356,cl5
J1105-1954,166.367,-19.9056,5.25,0.51,5.03,4.71115406028187,cl6
J1115-2550,168.9862,-25.8431,5.61,0.52,5.34,4.738762539643167,cl7
J1131-1955,172.9821,-19.9249,10.63,0.307,8.89,8.396744179550026,cl8
J1144-2835,176.0421,-28.5847,5.14,0.575,4.86,4.273056633853989,cl9
J1150-2805,177.7109,-28.0868,24.0,0.39,14.45,8.183700731464924,cl10
J1153-2137,178.3836,-21.6231,5.65,0.46,5.48,5.229573077720112,cl11
J1154-2609,178.566,-26.1533,6.92,0.34,6.63,7.021901660251314,cl12
J1159-2258,179.9615,-22.9816,5.81,0.7,4.42,3.6117340594179534,cl13
J1200-2002,180.0551,-20.0438,7.28,0.67,5.34,3.963393881604331,cl14
J1203-2131,180.8185,-21.5298,8.48,0.199,6.68,10.933651476697356,cl15
J1210-2218,182.7116,-22.3102,5.82,0.26,5.02,7.94262378677726,cl16
J1221-3010,185.3879,-30.1713,11.63,0.71,7.23,4.214820315776051,cl17
J1223-3014,185.8559,-30.2448,6.4,0.47,5.1,5.025058582866151,cl18
J1227-2227,186.7883,-22.4508,6.24,0.27,5.28,7.831220343198741,cl19
J1229-2021,187.2582,-20.3666,5.28,0.41,4.4,5.299461005488005,cl20
J1231-2548,187.7982,-25.8126,6.42,0.47,5.12,5.031618719013122,cl21
J1238-2854,189.5931,-28.9009,6.92,0.72,5.06,3.7069152663024725,cl22
J1240-2255,190.2485,-22.9296,5.01,0.78,3.81,3.1967115877077164,cl23
J1245-2259,191.4352,-22.9969,5.11,1.04,3.55,2.5974048511930197,cl24
J1246-2548,191.5274,-25.8011,5.79,0.32,4.91,6.664988686081357,cl25
J1250-3010,192.5661,-30.1676,5.93,0.43,4.83,5.273367056891586,cl26
J1252-2220,193.1064,-22.3364,5.28,1.27,3.41,2.272846791419529,cl27
J1253-2610,193.4332,-26.1742,5.31,0.49,4.32,4.610901355563336,cl28
J1256-2851,194.074,-28.8594,5.93,0.36,4.95,6.091519603273849,cl29
J1257-2926,194.3183,-29.4489,10.2,0.53,6.97,5.107981446420452,cl30
J1259-1953,194.8408,-19.8995,5.85,1.05,3.98,2.682438289143671,cl31
J1302-2405,195.6523,-24.0878,7.64,0.67,5.5,4.002589441768238,cl32
J1304-2349,196.0548,-23.8244,5.31,0.34,4.55,6.193755142584362,cl33
J1307-2052,196.8833,-20.8797,6.22,0.53,4.91,4.544982504600696,cl34
J1309-2417,197.4801,-24.2999,8.06,0.78,5.59,3.6324451574338417,cl35
J1314-2515,198.6165,-25.2599,15.39,0.247,9.66,10.306738106820044,cl36
J1315-2117,198.792,-21.2982,6.31,0.61,4.84,4.093202258466613,cl37
J1315-2806,198.811,-28.1091,8.23,1.39,4.76,2.411178661181922,cl38
J1323-2442,200.8031,-24.7112,5.46,0.3,4.69,6.911484717378777,cl39
J1325-2014,201.2721,-20.2336,6.99,0.192,5.86,10.792765580312182,cl40
J1333-2318,203.4162,-23.3011,5.5,0.126,4.95,14.782962151071649,cl41
J1335-2046,203.7929,-20.7708,6.47,0.51,5.1,4.732907718655507,cl42
J1342-2442,205.5035,-24.7051,6.44,0.81,4.65,3.332271495867304,cl43
J1342-2757,205.5959,-27.9616,5.46,0.65,4.26,3.753278994450952,cl44
J1347-2052,206.9497,-20.8706,5.21,0.97,3.72,2.7552017738893553,cl45
J1354-2011,208.5239,-20.1907,6.02,0.34,5.02,6.400071206347194,cl46
J1015-2604,153.8879,-26.0716,4.6,0.38,4.76,5.765937306420181,cl47
J1022-2337,155.7469,-23.6277,4.37,0.41,4.57,5.366851048718234,cl48
J1025-2041,156.2867,-20.688,4.19,0.31,4.61,6.693681164090248,cl49
J1039-2609,159.8641,-26.1622,4.58,0.41,4.7,5.417265173499308,cl50
J1042-2142,160.6896,-21.7163,4.62,0.47,4.67,4.879665257848615,cl51
J1042-2012,160.7066,-20.2083,4.64,0.33,4.87,6.486623497588307,cl52
J1113-2214,168.3704,-22.2382,4.63,0.46,4.68,4.9615952643457675,cl53
J1126-2046,171.5991,-20.7753,4.77,0.64,4.51,3.866537625465799,cl54
J1141-2127,175.493,-21.4629,4.83,0.3,5.01,7.065230142418047,cl55
J1204-2814,181.05,-28.2361,4.65,0.141,4.29,12.744269092825508,cl56
J1217-2928,184.3107,-29.4804,4.66,0.2,4.26,9.370923991711962,cl57
J1239-2915,189.7973,-29.2603,4.61,0.65,3.73,3.5906846007118967,cl58
J1251-2230,192.7899,-22.5053,4.38,0.045,4.22,36.6897094075671,cl59
J1251-2308,192.8977,-23.1401,4.47,0.29,4.06,6.769524143854783,cl60
J1252-2711,193.0096,-27.1926,4.59,0.43,3.97,4.939721457266188,cl61
J1254-2408,193.5557,-24.1344,4.4,0.65,3.62,3.5550346556212484,cl62
J1259-2129,194.9025,-21.4986,4.83,0.65,3.85,3.628784894548278,cl63
J1309-2244,197.3718,-22.7484,4.75,0.35,4.14,5.866872476387075,cl64
J1312-2505,198.2329,-25.0925,4.4,0.63,3.66,3.64616113011949,cl65
J1332-2017,203.0721,-20.2878,4.77,0.55,3.92,4.105578576177963,cl66
J1341-2346,205.491,-23.771,4.86,0.21,4.39,9.080074377597988,cl67
